"Número de serie","Planta","Número de artículo","Estado","Estado Molde","Captura","Vueltas MTO","peso masa","Peso resina cargada","Altura de pestaña molde","Creado","Modificado","Comentarios","Usuario activo","Vueltas","Vueltas desmanchado","Vueltas reparacion","Vueltas totales","Acabado","Tipo de molde","Aplicación modificada por","Creado por","Modificado por","modificadoDesde","Masa ADM"
"0124-36","MS","MOLDE LAVARROPAS ECO 46X51","Disponible","Activo","False","36","7.5",,"40.00","10/2/2023 11:24 AM","3/17/2026 11:34 AM",,,"3","0","0","1,448","Mate",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"0954","MS","MOLDE MESON ECO 150X55 BRILLANTE SIN PERF","Disponible","Activo","False","28","24",,"20.00","4/26/2021 2:25 PM","3/17/2026 11:34 AM",,,"5","0","0","92","Brillante",,"Microsoft Power Platform","Alejandro Isaza","Administrador Global","supabase",
"0081-10","MS","MOLDE LAVAMANOS TRENTINO 63X48 BRILLANTE","Disponible","Activo","False","28","8.5",,"30.00","5/22/2024 10:50 AM","3/17/2026 11:34 AM",,,"18","0","0","443","Brillante",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"0124-26","MS","MOLDE LAVARROPAS ECO 46X51","Disponible","Activo","False","36","7.5",,"30.00","1/11/2023 3:02 PM","3/17/2026 11:33 AM",,,"2","0","0","1,740","Mate",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"0124-55","MS","MOLDE LAVARROPAS ECO 46X51","Disponible","Activo","False","36",,,"32.00","2/18/2026 8:33 AM","3/17/2026 11:33 AM",,,"29","0","0","29","Brillante",,"Microsoft Power Platform","Brian Stiven Sánchez Hernández","Administrador Global","supabase",
"1218","MS","MOLDE MESON ECO 120X55 BRILLANTE","Disponible","Activo","False","28","22.1",,"20.00","1/17/2022 11:22 AM","3/17/2026 11:33 AM",,,"8","0","0","224","Brillante",,"Microsoft Power Platform","Mantenimiento","Administrador Global","supabase",
"0124-24","MS","MOLDE LAVARROPAS ECO 46X51","Disponible","Activo","False","36","7.5",,"30.00","12/21/2022 9:31 AM","3/17/2026 11:33 AM",,,"11","0","0","1,723","Mate",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"0124-39","MS","MOLDE LAVARROPAS ECO 46X51","Disponible","Activo","False","36","7.5",,"40.00","10/24/2023 11:54 AM","3/17/2026 11:33 AM",,,"28","0","0","1,329","Mate",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"0188-07","MS","MOLDE LAVAMANOS OSLO 94X48","Disponible","Activo","Verdadero","28",,,"77.00","3/13/2025 9:03 AM","3/17/2026 11:31 AM",,,"2","0","0","172","Brillante",,"Microsoft Power Platform","Jakeline Chaverra Soto","Administrador Global","supabase",
"0081-06","MS","MOLDE LAVAMANOS TRENTINO 63X48 BRILLANTE","Disponible","Activo","Verdadero","28","8.5",,"32.00","4/26/2021 2:25 PM","3/17/2026 11:29 AM",,,"11","0","0","1,409","Brillante",,"Microsoft Power Platform","Alejandro Isaza","Administrador Global","supabase",
"0081-08","MS","MOLDE LAVAMANOS TRENTINO 63X48 BRILLANTE","Disponible","Activo","Verdadero","28","8.5",,"32.00","8/3/2022 2:57 PM","3/17/2026 11:29 AM",,,"14","0","0","1,427","Brillante",,"Microsoft Power Platform","Sara María Aguilar Sierra","Administrador Global","supabase",
"1162-08","MS","MOLDE MESON ECO 120X55 BRILLANTE","Disponible","Activo","Verdadero","28","22",,"20.00","4/26/2021 2:25 PM","3/17/2026 11:21 AM",,,"4","0","0","228","Brillante",,"Microsoft Power Platform","Alejandro Isaza","Administrador Global","supabase",
"0086-13","MS","MOLDE LAVARROPAS AQUA 60X60 BRILLANTE","Disponible","Activo","Verdadero","28","13.4",,"73.00","10/2/2023 11:08 AM","3/17/2026 11:20 AM",,,"13","0","0","834","Brillante",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"0081-02","MS","MOLDE LAVAMANOS TRENTINO 63X48 BRILLANTE","Disponible","Activo","Verdadero","28","8.5",,"32.00","4/26/2021 2:25 PM","3/17/2026 11:20 AM",,,"3","0","0","1,579","Brillante",,"Microsoft Power Platform","Alejandro Isaza","Administrador Global","supabase",
"0194-15","MS","MOLDE LAVAMANOS SIENA 63x48","Disponible","Activo","Verdadero","28",,,"30.00","12/19/2024 10:19 PM","3/17/2026 11:18 AM",,,"17","0","0","396","Brillante",,"Microsoft Power Platform","Jakeline Chaverra Soto","Administrador Global","supabase",
"0124-33","MS","MOLDE LAVARROPAS ECO 46X51","Disponible","Activo","Verdadero","36","7.5",,"40.00","5/11/2023 2:40 PM","3/17/2026 11:18 AM",,,"27","0","0","1,613","Mate",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"0106-23","MS","MOLDE LAVARROPAS ECO 60X60","Disponible","Activo","Verdadero","36","12.3",,"45.00","1/12/2023 11:31 AM","3/17/2026 11:18 AM",,,"22","0","0","1,251","Mate",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"0184-08","MS","MOLDE LAVAMANOS SIENA 79x48","Disponible","Activo","Verdadero","28","11.2",,"73.00","10/11/2023 8:58 AM","3/17/2026 11:15 AM",,,"13","0","0","707","Brillante",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"0177-13","MS","MOLDE LAVAMANOS OSLO 48X38","Disponible","En reparación","Verdadero","28",,,"35.00","5/6/2025 11:01 AM","3/17/2026 11:15 AM","Desmanchado",,"24","0","0","490","Brillante",,"Microsoft Power Platform","Jakeline Chaverra Soto","Mantenimiento","sharepoint",
"216-07","MS","MOLDE MESON ECO 150X55 BRILLANTE PERF CUBIERTA","Disponible","Activo","Verdadero","28",,,"24.00","12/20/2023 7:56 AM","3/17/2026 11:15 AM",,,"14","0","0","268","Brillante",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"230-01",,"MOLDE LAVAMANOS JOHAN VESSEL 50X40 BRILLANTE","Disponible","Baja","Verdadero","1",,,"60.00","3/17/2026 11:13 AM","3/17/2026 11:14 AM","PRUEBA",,"0","0","0","0",,,"Microsoft Power Platform","Alejandro Isaza","Alejandro Isaza","sharepoint",
"0106-37","MS","MOLDE LAVARROPAS ECO 60X60","Disponible","Activo","Verdadero","36","12.3",,"45.00","2/14/2024 2:22 PM","3/17/2026 11:14 AM",,,"17","0","0","899","Mate",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"0106-38","MS","MOLDE LAVARROPAS ECO 60X60","Disponible","Activo","Verdadero","36","12.3",,"45.00","2/14/2024 2:24 PM","3/17/2026 11:14 AM",,,"25","0","0","801","Mate",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"0106-20","MS","MOLDE LAVARROPAS ECO 60X60","Disponible","Activo","Verdadero","36","12.3",,"45.00","10/26/2022 9:01 AM","3/17/2026 11:14 AM",,,"8","0","0","1,358","Mate",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"0124-48","MS","MOLDE LAVARROPAS ECO 46X51","Disponible","Activo","Verdadero","36",,,"20.00","1/29/2025 5:45 PM","3/17/2026 11:13 AM",,,"29","0","0","786","Mate",,"Microsoft Power Platform","Jakeline Chaverra Soto","Administrador Global","supabase",
"0124-22","MS","MOLDE LAVARROPAS ECO 46X51","Disponible","Activo","Verdadero","36","7.5",,"40.00","12/2/2022 11:13 AM","3/17/2026 11:13 AM",,,"32","0","0","1,838","Mate",,"Microsoft Power Platform","Sara María Aguilar Sierra","Administrador Global","supabase",
"202-05","MS","MOLDE LAVAMANOS ECO 40X30","Disponible","Activo","Verdadero","28","2.7",,"20.00","4/26/2021 2:26 PM","3/17/2026 11:13 AM",,,"5","0","0","1,180","Brillante",,"Microsoft Power Platform","Alejandro Isaza","Administrador Global","supabase",
"0087-14","MS","MOLDE LAVARROPAS AQUA 80X60 BRILLANTE","Disponible","Activo","Verdadero","28",,,"50.00","7/9/2024 2:21 PM","3/17/2026 11:12 AM",,,"16","0","0","370","Brillante",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"0086-14","MS","MOLDE LAVARROPAS AQUA 60X60 BRILLANTE","Disponible","Activo","Verdadero","28","13.4",,"40.00","10/2/2023 11:08 AM","3/17/2026 11:12 AM",,,"2","0","0","639","Brillante",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"0106-36","MS","MOLDE LAVARROPAS ECO 60X60","Disponible","Activo","False","36","12.3",,"45.00","10/24/2023 3:36 PM","3/17/2026 11:09 AM","Desmanchado",,"0","0","0","626","Mate",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Mantenimiento","sharepoint",
"0106-29","MS","MOLDE LAVARROPAS ECO 60X60","Disponible","Activo","False","36","12.3",,"45.00","5/11/2023 7:11 AM","3/17/2026 11:08 AM",,,"0","0","0","1,022","Mate",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Mantenimiento","sharepoint",
"0062-69","MS","MOLDE LAVAMANOS ECO 48X38","Disponible","Activo","False","28",,,"40.00","11/20/2025 7:34 AM","3/17/2026 11:06 AM","Desmanchado",,"0","0","0","144","Brillante",,"Microsoft Power Platform","Jakeline Chaverra Soto","Mantenimiento","sharepoint",
"01151","MS","MOLDE LAVARROPAS 48X51W BRILLANTE","Disponible","Activo","Verdadero","28",,,"45.00","1/28/2025 10:53 AM","3/17/2026 11:05 AM",,,"4","0","0","335","Brillante",,"Microsoft Power Platform","Jakeline Chaverra Soto","Administrador Global","supabase",
"0106-30","MS","MOLDE LAVARROPAS ECO 60X60","Disponible","Activo","Verdadero","36","12.3",,"45.00","5/9/2023 3:41 PM","3/17/2026 11:05 AM",,,"3","0","0","1,044","Mate",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"0124-35","MS","MOLDE LAVARROPAS ECO 46X51","Disponible","Activo","Verdadero","36","7.5",,"20.00","5/11/2023 2:49 PM","3/17/2026 11:04 AM",,,"1","0","0","1,504","Mate",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"0177-19","MS","MOLDE LAVAMANOS OSLO 48X38","Disponible","Activo","Verdadero","28",,,"45.00","1/27/2026 11:54 AM","3/17/2026 11:02 AM",,,"8","0","0","37","Brillante",,"Microsoft Power Platform","Brian Stiven Sánchez Hernández","Administrador Global","supabase",
"202-11","MS","MOLDE LAVAMANOS ECO 40X30","Disponible","Activo","Verdadero","28","2.7",,"25.00","4/26/2021 2:26 PM","3/17/2026 11:02 AM","Desmanchado",,"1","0","0","861","Brillante",,"Microsoft Power Platform","Alejandro Isaza","Administrador Global","supabase",
"0177-11","MS","MOLDE LAVAMANOS OSLO 48X38","Disponible","Activo","Verdadero","28","6.2",,"30.00","7/2/2024 1:55 PM","3/17/2026 10:59 AM",,,"24","0","0","796","Brillante",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"0177-15","MS","MOLDE LAVAMANOS OSLO 48X38","Disponible","Activo","Verdadero","28",,,"38.00","5/21/2025 7:04 AM","3/17/2026 10:59 AM",,,"14","0","0","425","Brillante",,"Microsoft Power Platform","Jakeline Chaverra Soto","Administrador Global","supabase",
