"Título","CODIGO MOLDE","DEFECTOS A REPARAR","FECHA ENTRADA","FECHA ESPERADA","FECHA ENTREGA","ESTADO","OBSERVACIONES","Usuario","Recibido","Prioridad","H altura de pestaña","Created","Responsable","Tipo de reparacion","Tipo","ID","espesor_pestana","espesor_bowl","espesor_fondo","espesor_parte_plana","espesor_angulos","espesor_radios","Modified","Created By","Modified By"
"MOLDE LAVAMANOS OSLO 63X48","0192-22","Molde deformado, Molde Rayado, ","2/19/2026","2/20/2026","2/20/2026","Entregado",,"Lina Osorio",,"19,523","60.00","2/19/2026 2:55 PM","Lina Osorio","Rapida","Molde","40699","0","0","0","0","0","0","2/20/2026 9:47 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS ECO 46X51","0124-41","Molde Despicado, ","2/19/2026","2/20/2026","2/20/2026","Entregado",,"Lina Osorio",,"19,524","40.00","2/19/2026 3:07 PM","Lina Osorio","Rapida","Molde","40700","0","0","0","0","0","0","2/20/2026 2:13 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS ECO 48X38","0062-60","Molde Rayado, ","2/19/2026","2/20/2026","2/20/2026","Entregado",,"Lina Osorio",,"19,525","20.00","2/19/2026 3:08 PM","Lina Osorio","Rapida","Molde","40701","0","0","0","0","0","0","2/20/2026 12:16 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS VERSA 50X50 BRILLANTE","219-03","Molde Rayado, ","2/19/2026","2/20/2026","2/23/2026","Entregado",,"Lina Osorio",,"19,526","38.00","2/19/2026 3:11 PM","Lina Osorio","Rapida","Molde","40702","0","0","0","0","0","0","2/23/2026 6:49 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS ECO 60X60","0106-31","Molde Despicado, Exceso de masa en el Contramolde, ","2/19/2026","2/20/2026","2/23/2026","Entregado",,"Lina Osorio",,"19,527","45.00","2/19/2026 3:12 PM","Lina Osorio","Rapida","Molde","40703","0","0","0","0","0","0","2/23/2026 1:50 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS ECO 48X38","0062-55","Molde Fisurado, Molde Rayado, ","2/19/2026","2/20/2026","2/20/2026","Entregado",,"Lina Osorio",,"19,528","30.00","2/19/2026 3:13 PM","Lina Osorio","Rapida","Molde","40704","0","0","0","0","0","0","2/20/2026 12:18 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS ECO 60X60","0106-20","Molde Despicado, Conta molde con Acumulación de cera, Contramolde reventado, Contramolde fisurado, ","2/19/2026","2/20/2026","2/23/2026","Entregado",,"Lina Osorio",,"19,529","45.00","2/19/2026 3:14 PM","Lina Osorio","Rapida","Molde","40705","0","0","0","0","0","0","2/23/2026 9:04 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS SIENA 63x48","0194-05","Molde Rayado, Molde Fisurado, ","2/19/2026","2/20/2026","2/21/2026","Entregado",,"Lina Osorio",,"19,530","40.00","2/19/2026 3:14 PM","Lina Osorio","Rapida","Molde","40706","0","0","0","0","0","0","2/21/2026 6:51 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS AQUA 48X60 BRILLANTE","0085-12","Molde Despicado, Molde Rayado, ","2/19/2026","2/20/2026","2/21/2026","Entregado",,"Lina Osorio",,"19,531","40.00","2/19/2026 3:15 PM","Lina Osorio","Rapida","Molde","40707","0","0","0","0","0","0","2/21/2026 6:48 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS ECO 48X38","0062-51","Molde Fisurado, ","2/19/2026","2/20/2026","2/20/2026","Entregado",,"Lina Osorio",,"19,532","20.00","2/19/2026 3:17 PM","Lina Osorio","Rapida","Molde","40708","0","0","0","0","0","9","2/20/2026 9:39 AM","Mantenimiento","Mantenimiento"
