"Título","CODIGO MOLDE","DEFECTOS A REPARAR","FECHA ENTRADA","FECHA ESPERADA","FECHA ENTREGA","ESTADO","OBSERVACIONES","Usuario","Recibido","Prioridad","H altura de pestaña","Created","Responsable","Tipo de reparacion","Tipo","ID","espesor_pestana","espesor_bowl","espesor_fondo","espesor_parte_plana","espesor_angulos","espesor_radios","Modified","Created By","Modified By"
"MOLDE PLAQUITA PARA LVM GENOVA 63X48","218-08","Modificación al molde, , , , , ","2/16/2026","3/10/2026",,"En espera - Moldes","Modificación altura de molde (pieza de 12 mm). Se inicia el 27/02 que se define con comercial trabajr esta nueva forma de placas.","Jakeline  Chaverra Soto",,"18,712","20.00","12/18/2025 10:08 AM","Bernardo Alfredo Restrepo Calle ","Especial","Molde","38913","0","0","0","0","0","0","2/27/2026 1:54 PM","Jakeline Chaverra Soto","Sara María Aguilar Sierra"
"MOLDE LAVAPLATOS KOA 63X51 1 BOWL","0197-10","Limpieza de masa sin gelar, ","1/17/2026","1/17/2026","1/17/2026","Entregado",,"Lina Osorio",,"19,020","250.00","1/17/2026 7:48 AM","Lina Osorio","Rapida","Molde","39646","0","0","0","0","0","0","1/17/2026 8:17 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVAPLATOS KOA 63X51 1 BOWL","0197-11","Limpieza de masa sin gelar, ","1/17/2026","1/17/2026","1/17/2026","Entregado",,"Lina Osorio",,"19,021","10.00","1/17/2026 7:48 AM","Lina Osorio","Rapida","Molde","39647","0","0","0","0","0","0","1/17/2026 8:19 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVAPLATOS KOA 63X51 1 BOWL","0197-05","Limpieza de masa sin gelar, ","1/17/2026","1/17/2026","1/17/2026","Entregado",,"Lina Osorio",,"19,022","19.00","1/17/2026 7:49 AM","Lina Osorio","Rapida","Molde","39648","0","0","0","0","0","0","1/17/2026 8:18 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS ECO 40X30","202-02","Limpieza de masa sin gelar, ","1/17/2026","1/17/2026","1/17/2026","Entregado",,"Lina Osorio",,"19,023","25.00","1/17/2026 7:50 AM","Lina Osorio","Rapida","Molde","39649","0","0","0","0","0","0","1/17/2026 11:21 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS GENOVA 63X48","0193-06","Limpieza de masa sin gelar, ","1/17/2026","1/17/2026","1/17/2026","Entregado",,"Lina Osorio",,"19,024","5.90","1/17/2026 7:52 AM","Lina Osorio","Rapida","Molde","39650","0","0","0","0","0","0","1/17/2026 11:22 AM","Mantenimiento","Mantenimiento"
"MOLDE MESON COCINA 150X60 V.2 - PERF-CUB","231-01","Limpieza de masa sin gelar, ","1/17/2026","1/17/2026","1/17/2026","Entregado",,"Lina Osorio",,"19,025","30.00","1/17/2026 7:52 AM","Lina Osorio","Rapida","Molde","39651","0","0","0","0","0","0","1/17/2026 9:55 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS ECO 60X60","0106-28","Limpieza de masa sin gelar, ","1/17/2026","1/17/2026","1/17/2026","Entregado",,"Lina Osorio",,"19,026","45.00","1/17/2026 7:53 AM","Lina Osorio","Rapida","Molde","39652","0","0","9,990","0","0","0","1/17/2026 11:19 AM","Mantenimiento","Mantenimiento"
"MOLDE MESON COCINA 150X60 V.2 - PERF-CUB","231-02","Limpieza de masa sin gelar, ","1/17/2026","1/17/2026","1/17/2026","Entregado",,"Lina Osorio",,"19,027","28.00","1/17/2026 7:54 AM","Lina Osorio","Rapida","Molde","39653","0","0","0","0","0","0","1/17/2026 10:21 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS ECO 60X60","0106-33","Limpieza de masa sin gelar, ","1/17/2026","1/17/2026","1/17/2026","Entregado",,"Lina Osorio",,"19,028","45.00","1/17/2026 7:55 AM","Lina Osorio","Rapida","Molde","39654","0","0","0","90","0","0","1/17/2026 12:22 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS OSLO 48X43","0175-45","Limpieza de masa sin gelar, ","1/17/2026","1/17/2026","1/17/2026","Entregado",,"Lina Osorio",,"19,029","44.50","1/17/2026 7:57 AM","Lina Osorio","Rapida","Molde","39655","0","0","0","0","0","0","1/17/2026 11:24 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS SIENA 79x48","0184-05","Limpieza de masa sin gelar, ","1/17/2026","1/17/2026","1/17/2026","Entregado",,"Lina Osorio",,"19,030","60.00","1/17/2026 7:57 AM","Lina Osorio","Rapida","Molde","39656","0","0","0","0","0","0","1/17/2026 11:20 AM","Mantenimiento","Mantenimiento"
"MOLDE PLAQUITA PARA LVM GENOVA 63X48","218-07","Limpieza de masa sin gelar, ","1/17/2026","1/17/2026","1/17/2026","Entregado",,"Lina Osorio",,"19,031","10.00","1/17/2026 7:58 AM","Lina Osorio","Rapida","Molde","39657","0","0","0","0","0","0","1/17/2026 12:23 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS ECO 60X60","0106-24","Limpieza de masa sin gelar, ","1/17/2026","1/17/2026","1/17/2026","Entregado",,"Lina Osorio",,"19,032","45.00","1/17/2026 7:59 AM","Lina Osorio","Rapida","Molde","39658","0","0","0","0","0","0","1/17/2026 11:20 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS OSLO 48X43","0175-23","Limpieza de masa sin gelar, ","1/17/2026","1/17/2026","1/17/2026","Entregado",,"Lina Osorio",,"19,034","60.00","1/17/2026 8:01 AM","Lina Osorio","Rapida","Molde","39660","0","0","0","0","0","0","1/17/2026 12:22 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS GENOVA 63X48","0193-03","Limpieza de masa sin gelar, ","1/17/2026","1/17/2026","1/17/2026","Entregado",,"Lina Osorio",,"19,035","60.00","1/17/2026 8:58 AM","Lina Osorio","Rapida","Molde","39661","0","0","0","0","0","0","1/17/2026 11:23 AM","Mantenimiento","Mantenimiento"
"MOLDE PLAQUITA PARA LVM GENOVA 63X48","218-07","Molde Despicado, Molde Fisurado, ","1/19/2026","1/20/2026","1/19/2026","Entregado",,"Lina Osorio",,"19,019","10.00","1/19/2026 6:56 AM","Lina Osorio","Rapida","Molde","39662","0","0","0","0","0","0","1/19/2026 3:19 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS ECO 60X60","0106-35","Molde Despicado, , , ","1/19/2026","1/20/2026","1/19/2026","Entregado",,"Lina Osorio",,"19,020","450.00","1/19/2026 7:00 AM","Lina Osorio","Rapida","Molde","39663","0","0","0","0","0","0","1/19/2026 11:18 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS AQUA 48X60 BRILLANTE","0085-11","Molde Despicado, Molde Rayado, ","1/19/2026","1/21/2026","1/21/2026","Entregado",,"Lina Osorio",,"19,021","40.00","1/19/2026 7:01 AM","Lina Osorio","Rapida","Molde","39664","0","0","0","0","0","0","1/21/2026 11:20 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS OSLO 48X43","0175-38","Molde Despicado, Molde Rayado, ","1/19/2026","1/20/2026","1/19/2026","Entregado",,"Lina Osorio",,"19,022","60.00","1/19/2026 7:02 AM","Lina Osorio","Rapida","Molde","39665","0","0","0","0","0","0","1/19/2026 3:16 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS OSLO 48X43","0175-41","Molde Rayado, Molde Despicado, ","1/19/2026","1/21/2026","1/20/2026","Entregado",,"Lina Osorio",,"19,023","50.00","1/19/2026 7:05 AM","Lina Osorio","Rapida","Molde","39666","0","0","0","0","0","0","1/20/2026 9:17 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS ECO 60X60","0106-25","Molde Despicado, Molde mate con brillo, ","1/19/2026","1/20/2026","1/20/2026","Entregado",,"Lina Osorio",,"19,024","45.00","1/19/2026 7:06 AM","Lina Osorio","Rapida","Molde","39667","0","0","0","0","0","0","1/20/2026 7:47 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS ECO 48X38","0062-44","Molde Despicado, Molde Rayado, ","1/19/2026","1/20/2026","1/20/2026","Entregado",,"Lina Osorio",,"19,025","30.00","1/19/2026 7:07 AM","Lina Osorio","Rapida","Molde","39668","0","0","0","0","0","0","1/20/2026 11:13 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS ECO 48X38","0062-61","Molde Rayado, Molde Despicado, ","1/19/2026","1/20/2026","1/20/2026","Entregado",,"Lina Osorio",,"19,026","35.00","1/19/2026 7:09 AM","Lina Osorio","Rapida","Molde","39669","0","0","0","0","0","0","1/20/2026 3:11 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS AQUA 60X60 BRILLANTE","0086-19","Molde Despicado, Molde Rayado, Molde Tallado, ","1/19/2026","1/21/2026","1/21/2026","Entregado",,"Lina Osorio",,"19,027","60.00","1/19/2026 7:10 AM","Lina Osorio","Rapida","Molde","39670","0","0","0","0","0","0","1/21/2026 7:11 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS ECO 80X60","0107-24","Molde con poros, Molde con Acumulación de cera, ","1/19/2026","1/20/2026","1/19/2026","Entregado","Reportado desde app nueva",,,"1","30.00","1/19/2026 7:11 AM","Lina Osorio","Rapida",,"39671","0","0","0","0","0","0","1/19/2026 1:24 PM","Administrador Global","Mantenimiento"
"MOLDE LAVARROPAS ECO 60X60","0106-36"," Molde Despicado, Molde con Acumulación de cera, ","1/19/2026","1/20/2026","1/19/2026","Entregado","Reportado desde app nueva",,,"1","30.00","1/19/2026 7:11 AM","Lina Osorio","Rapida",,"39673","0","0","0","0","0","0","1/19/2026 1:22 PM","Administrador Global","Mantenimiento"
"MOLDE LAVAMANOS OSLO 48X38","0177-04","Molde Rayado, Molde Despicado, ","1/19/2026","1/21/2026","1/20/2026","Entregado",,"Lina Osorio",,"19,028","30.00","1/19/2026 7:11 AM","Lina Osorio","Rapida","Molde","39674","0","0","0","0","0","0","1/20/2026 3:12 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS ECO 48X38","0062-43","Molde Despicado, Molde Rayado, ","1/19/2026","1/21/2026","1/20/2026","Entregado",,"Lina Osorio",,"19,029","30.00","1/19/2026 7:12 AM","Lina Osorio","Rapida","Molde","39675","0","0","0","0","0","0","1/20/2026 9:15 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS ECO 60X60","0106-34","Molde Fisurado, Molde con Acumulación de cera, ","1/19/2026","1/20/2026","1/19/2026","Entregado",,"Lina Osorio",,"19,030","45.00","1/19/2026 7:18 AM","Lina Osorio","Rapida","Molde","39676","0","0","0","0","0","0","1/19/2026 11:19 AM","Mantenimiento","Mantenimiento"
"MOLDE BAÑERA SANTORINI 180X180 V.2","212-01","Desmanchado, ","1/19/2026","1/19/2026","1/19/2026","Entregado",,"Lina Osorio",,"19,031","60.00","1/19/2026 7:50 AM","Lina Osorio","Rapida","Molde","39677","0","0","0","0","0","0","1/19/2026 7:53 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS ECO 46X51","0124-45","Molde con Acumulación de cera, Molde con poros, ","1/19/2026","1/20/2026","1/19/2026","Entregado","Reportado desde app nueva",,,"1","60.00","1/19/2026 8:00 AM","Lina Osorio","Rapida",,"39678","0","0","0","0","0","0","1/19/2026 11:16 AM","Administrador Global","Mantenimiento"
"MOLDE LAVARROPAS ECO 46X51","0124-20","Desmanchado, ","1/19/2026","1/20/2026","1/19/2026","Entregado","Reportado desde app nueva",,,"1","30.00","1/19/2026 9:05 AM","Lina Osorio","Rapida",,"39683","0","0","0","0","0","0","1/19/2026 10:00 AM","Administrador Global","Mantenimiento"
"MOLDE LAVARROPAS ECO 60X60","0106-37",", Molde Despicado, Desgelcar, Molde Despicado","1/19/2026","1/20/2026","1/20/2026","Entregado","Reportado desde app nueva",,,"1","30.00","1/19/2026 10:36 AM","Lina Osorio","Rapida",,"39684","0","0","0","0","0","0","1/20/2026 7:41 AM","Administrador Global","Mantenimiento"
"MOLDE LAVARROPAS AQUA 48X60 BRILLANTE","0085-12","Desmanchado, ","1/19/2026","1/20/2026","1/19/2026","Entregado","Reportado desde app nueva",,,"1","30.00","1/19/2026 10:36 AM","Lina Osorio","Rapida",,"39685","0","0","0","0","0","0","1/19/2026 12:42 PM","Administrador Global","Mantenimiento"
"MOLDE LAVAMANOS PARMA 63X48 BRILLANTE","1199-04","Brrillado molde, ","1/19/2026","1/19/2026","1/19/2026","Entregado",,"Lina Osorio",,"19,030","20.00","1/19/2026 11:31 AM","Lina Osorio","Rapida","Molde","39686","0","0","0","0","0","0","1/19/2026 12:44 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS GENOVA 63X48","0193-06","Brrillado molde, ","1/19/2026","1/19/2026","1/19/2026","Entregado",,"Lina Osorio",,"19,031","5.90","1/19/2026 11:31 AM","Lina Osorio","Rapida","Molde","39687","0","0","0","0","0","0","1/19/2026 2:45 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS ECO 46X51","0124-47","Molde con poros, Molde con Acumulación de cera, ","1/19/2026","1/20/2026","1/20/2026","Entregado","Reportado desde app nueva",,,"1","30.00","1/19/2026 11:32 AM","Lina Osorio","Rapida",,"39688","0","0","0","0","0","0","1/20/2026 11:14 AM","Administrador Global","Mantenimiento"
"MOLDE LAVAMANOS ECO 48X38","0062-63","Brrillado molde, ","1/19/2026","1/19/2026","1/19/2026","Entregado",,"Lina Osorio",,"19,032","30.00","1/19/2026 11:32 AM","Lina Osorio","Rapida","Molde","39689","0","0","0","0","0","0","1/19/2026 2:46 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS ECO 48X38","0062-67","Desmanchado, , ","1/19/2026","1/20/2026","1/19/2026","Entregado","Reportado desde app nueva",,,"1","25.00","1/19/2026 11:43 AM","Lina Osorio","Rapida",,"39690","0","0","0","0","0","0","1/19/2026 1:15 PM","Administrador Global","Mantenimiento"
"MOLDE LAVAMANOS OSLO 48X43","0175-37","Desmanchado, ","1/19/2026","1/19/2026","1/19/2026","Entregado",,"Lina Osorio",,"19,033","40.00","1/19/2026 1:12 PM","Lina Osorio","Rapida","Molde","39691","0","0","0","0","0","0","1/19/2026 1:13 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS ECO 48X60","0104-21","Molde Despicado, Molde con poros, Molde con Acumulación de cera, ","1/19/2026","1/20/2026","1/20/2026","Entregado","Reportado desde app nueva",,,"1","30.00","1/19/2026 1:17 PM","Lina Osorio","Rapida",,"39692","0","0","0","0","0","0","1/20/2026 9:14 AM","Administrador Global","Mantenimiento"
"MOLDE LAVAMANOS OSLO 94X48","0188-05","Molde Despicado, Molde Rayado, ","1/19/2026","1/20/2026","1/22/2026","Entregado","Reportado desde app nueva",,,"1","30.00","1/19/2026 1:36 PM","Lina Osorio","Rapida",,"39695","0","0","0","0","0","0","1/22/2026 10:17 AM","Administrador Global","Mantenimiento"
"MOLDE LAVAMANOS QUADRATTO 63X48 BRILLANTE","1231-08","Desmanchado, ","1/19/2026","1/20/2026","1/20/2026","Entregado","Reportado desde app nueva",,,"1","30.00","1/19/2026 1:59 PM","Lina Osorio","Rapida",,"39700","0","0","0","0","0","0","1/20/2026 10:20 AM","Administrador Global","Mantenimiento"
"MOLDE MESON ECO 150X55 BRILLANTE PERF CUBIERTA","216-06","Revisión de espesores en pieza, ","1/19/2026","1/19/2026","1/19/2026","Entregado",,"Luisa Fernanda Caicedo Urrutia",,"19,033","20.00","1/19/2026 2:07 PM","Luisa Fernanda Caicedo Urrutia","Especial","Molde","39701","0","0","0","0","0","0","1/19/2026 2:10 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS ECO 70X60","1189-02","Modificación al contramolde, ","1/19/2026","1/28/2026","1/21/2026","Entregado","Se le organiza las esquinas para mejorar el pulido en la CNC ","Sonia Helena  Puerta puerta",,"19,031","20.00","1/19/2026 3:04 PM","Yurany Andrea Ortiz Torres","Especial","Molde","39702","0","0","0","0","0","0","1/21/2026 7:27 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS RIO 48X43 BRILLANTE","1207-03","Molde Rayado, ","1/19/2026","1/20/2026","1/20/2026","Entregado",,"Lina Osorio",,"19,032","15.00","1/20/2026 6:32 AM","Lina Osorio","Rapida","Molde","39703","0","0","0","0","0","0","1/20/2026 10:27 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS ECO 46X51","0124-34","Molde Despicado, Molde con Acumulación de cera, ","1/20/2026","1/20/2026","1/20/2026","Entregado",,"Lina Osorio",,"19,033","20.00","1/20/2026 6:37 AM","Lina Osorio","Rapida","Molde","39704","0","0","0","0","0","0","1/20/2026 1:50 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS ECO 46X51","0124-41","Molde Despicado, ","1/20/2026","1/20/2026","1/20/2026","Entregado",,"Lina Osorio",,"19,034","40.00","1/20/2026 6:38 AM","Lina Osorio","Rapida","Molde","39705","0","0","0","0","0","0","1/20/2026 2:19 PM","Mantenimiento","Mantenimiento"
"MOLDE MESON ECO 150X55 BRILLANTE PERF CUBIERTA","216-06","Molde Rayado, Molde Despicado, ","1/20/2026","1/21/2026","1/20/2026","Entregado",,"Lina Osorio",,"19,035","20.00","1/20/2026 6:39 AM","Lina Osorio","Rapida","Molde","39706","0","0","0","0","0","0","1/20/2026 2:46 PM","Mantenimiento","Mantenimiento"
"MOLDE MESON COCINA 180X60 PERF-CUB V.2","209-14","Molde Despicado, Molde Rayado, ","1/20/2026","1/21/2026","1/20/2026","Entregado",,"Lina Osorio",,"19,036","40.00","1/20/2026 6:39 AM","Lina Osorio","Rapida","Molde","39707","0","0","0","0","0","0","1/20/2026 11:21 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS AQUA 48X60 BRILLANTE","0085-06","Molde Despicado, Molde Rayado, ","1/20/2026","1/22/2026","1/21/2026","Entregado",,"Lina Osorio",,"19,037","40.00","1/20/2026 6:42 AM","Lina Osorio","Rapida","Molde","39708","0","0","0","0","0","0","1/21/2026 8:12 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS AQUA 48X60 BRILLANTE","0085-13","Molde Rayado, Molde Despicado, ","1/20/2026","1/22/2026","1/21/2026","Entregado",,"Lina Osorio",,"19,038","40.00","1/20/2026 6:43 AM","Lina Osorio","Rapida","Molde","39709","0","0","0","0","0","0","1/21/2026 9:01 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS ECO 46X51","0124-28","Conta molde con Acumulación de cera, Exceso de masa en el Contramolde, Molde Despicado, , ","1/20/2026","1/22/2026","1/21/2026","Entregado",,"Lina Osorio",,"19,039","30.00","1/20/2026 6:43 AM","Lina Osorio","Rapida","Molde","39710","0","0","0","0","0","0","1/21/2026 7:21 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS AQUA 60X60 BRILLANTE","0086-20","Molde Despicado, Molde Rayado, ","1/20/2026","1/22/2026","1/22/2026","Entregado",,"Lina Osorio",,"19,040","50.00","1/20/2026 6:44 AM","Lina Osorio","Rapida","Molde","39711","0","0","0","0","0","0","1/22/2026 2:46 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS ECO 48X38","0062-62",", Brrillado molde, , ","1/20/2026","1/21/2026","1/20/2026","Entregado",,"Lina Osorio",,"19,040","45.00","1/20/2026 6:45 AM","Lina Osorio","Rapida","Molde","39712","0","0","0","0","0","0","1/20/2026 10:23 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS OSLO 79X48","0190-06","Molde Fisurado, Molde Rayado, Molde Tallado, , ","1/20/2026","1/22/2026","1/26/2026","Entregado",,"Lina Osorio",,"19,041","77.00","1/20/2026 6:46 AM","Lina Osorio","Rapida","Molde","39713","0","0","0","0","0","0","1/26/2026 3:25 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS ECO 48X38","0062-53","Molde Despicado, Molde Rayado, ","1/20/2026","1/21/2026","1/23/2026","Entregado",,"Lina Osorio",,"19,042","30.00","1/20/2026 6:47 AM","Lina Osorio","Rapida","Molde","39714","0","0","0","0","0","0","1/23/2026 9:07 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS SIENA 79x48","0184-08","Brrillado molde, ","1/20/2026","1/20/2026","1/20/2026","Entregado",,"Lina Osorio",,"19,043","73.00","1/20/2026 6:50 AM","Lina Osorio","Rapida","Molde","39715","0","0","0","0","0","0","1/20/2026 10:22 AM","Mantenimiento","Mantenimiento"
"MOLDE BAÑERA CATALUÑA 170X90","1253-06","Desmanchado, ","1/20/2026","1/20/2026","1/20/2026","Entregado",,"Lina Osorio",,"19,044","100.00","1/20/2026 8:23 AM","Lina Osorio","Rapida","Molde","39716","0","0","0","0","0","0","1/20/2026 8:27 AM","Mantenimiento","Mantenimiento"
"MOLDE BAÑERA CATALUÑA 170X90","1253-05","Desmanchado, ","1/20/2026","1/20/2026","1/20/2026","Entregado",,"Lina Osorio",,"19,045","100.00","1/20/2026 8:25 AM","Lina Osorio","Rapida","Molde","39717","0","0","0","0","0","0","1/20/2026 8:27 AM","Mantenimiento","Mantenimiento"
"MOLDE BAÑERA CATALUÑA 170X90","1253-04","Desmanchado, ","1/20/2026","1/20/2026","1/20/2026","Entregado",,"Lina Osorio",,"19,046","100.00","1/20/2026 8:26 AM","Lina Osorio","Rapida","Molde","39718","0","0","0","0","0","0","1/20/2026 8:28 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS OSLO 48X43","0175-48","Desmanchado, ","1/20/2026","1/21/2026","1/20/2026","Entregado","Reportado desde app nueva",,,"1","0.00","1/20/2026 9:01 AM","Lina Osorio","Rapida",,"39719","0","0","0","0","0","0","1/20/2026 9:44 AM","Administrador Global","Mantenimiento"
"MOLDE MESON COCINA 180X60 PERF-CUB V.2","209-08","Modificación al molde, ","1/19/2026","2/6/2026","1/30/2026","Entregado","Se le modifica la cubierta ","Sonia Helena  Puerta puerta",,"19,044","450.00","1/20/2026 9:06 AM","Yurany Andrea Ortiz Torres","Especial","Molde","39720","0","0","0","0","0","0","1/30/2026 7:45 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS ECO 48X38","0062-66","Molde Despicado, Molde Rayado, ","1/20/2026","1/21/2026","1/20/2026","Entregado",,"Lina Osorio",,"19,045","20.00","1/20/2026 10:03 AM","Lina Osorio","Rapida","Molde","39721","60","0","0","0","0","0","1/20/2026 2:26 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS ECO 60X60","0106-27","Molde Despicado, Exceso de masa en el Contramolde, ","1/20/2026","1/22/2026","1/22/2026","Entregado",,"Lina Osorio",,"19,046","45.00","1/20/2026 10:05 AM","Lina Osorio","Rapida","Molde","39722","0","0","0","0","0","0","1/22/2026 10:26 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS ECO 46X51","0124-35","Exceso de masa en el Contramolde, Molde Despicado, ","1/20/2026","1/22/2026","1/21/2026","Entregado",,"Lina Osorio",,"19,047","20.00","1/20/2026 10:06 AM","Lina Osorio","Rapida","Molde","39723","0","0","0","0","7","0","1/21/2026 2:23 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS OSLO 48X38","0177-13","Molde Despicado, Molde Rayado, Exceso de masa en el Contramolde, ","1/20/2026","1/21/2026","1/21/2026","Entregado",,"Lina Osorio",,"19,048","35.00","1/20/2026 10:10 AM","Lina Osorio","Rapida","Molde","39724","0","0","0","0","0","0","1/21/2026 7:17 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS ECO 48X38","0062-58","Molde Despicado, Molde Rayado, ","1/20/2026","1/21/2026","1/21/2026","Entregado",,"Lina Osorio",,"19,049","30.00","1/20/2026 10:13 AM","Lina Osorio","Rapida","Molde","39725","0","0","8","0","0","0","1/21/2026 9:46 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS ECO 46X51","0124-36","Molde Despicado, Exceso de masa en el Contramolde, ","1/20/2026","1/21/2026","1/21/2026","Entregado",,"Lina Osorio",,"19,050","40.00","1/20/2026 10:14 AM","Lina Osorio","Rapida","Molde","39726","0","0","0","0","0","0","1/21/2026 8:11 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS AQUA 48X60 BRILLANTE","0085-14","Brrillado molde, , ","1/20/2026","1/20/2026","1/20/2026","Entregado",,"Lina Osorio",,"19,051","40.00","1/20/2026 10:15 AM","Lina Osorio","Rapida","Molde","39727","0","0","0","0","0","0","1/20/2026 12:18 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS ECO 48X38","0062-57","Brrillado molde, ","1/20/2026","1/20/2026","1/20/2026","Entregado",,"Lina Osorio",,"19,052","30.00","1/20/2026 10:16 AM","Lina Osorio","Rapida","Molde","39728","0","0","0","0","0","0","1/20/2026 12:17 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS ECO 48X38","0062-47","Brrillado molde, ","1/20/2026","1/20/2026","1/20/2026","Entregado",,"Lina Osorio",,"19,053","30.00","1/20/2026 10:16 AM","Lina Osorio","Rapida","Molde","39729","0","0","0","0","0","0","1/20/2026 12:41 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS ECO 48X60","0104-15","Molde Despicado, Molde con Acumulación de cera, ","1/20/2026","1/21/2026","1/21/2026","Entregado","Reportado desde app nueva",,,"1","30.00","1/20/2026 10:47 AM","Lina Osorio","Rapida",,"39730","0","0","0","0","0","0","1/21/2026 11:21 AM","Administrador Global","Mantenimiento"
"MOLDE LAVARROPAS AQUA 60X60 BRILLANTE","0086-14","Molde Rayado, Molde Despicado, Molde Fisurado, , , ","1/20/2026","1/21/2026","1/22/2026","Entregado","Reportado desde app nueva",,,"1","60.00","1/20/2026 10:48 AM","Lina Osorio","Rapida",,"39731","0","0","0","0","0","0","1/22/2026 10:06 AM","Administrador Global","Mantenimiento"
"MOLDE LAVAMANOS ECO 48X38","0062-60","Reparación / cambio de pines, ","1/20/2026","1/30/2026","1/21/2026","Entregado",,"Sonia Helena  Puerta puerta",,,"20.00","1/20/2026 11:38 AM","Yurany Andrea Ortiz Torres","Especial","Molde","39735","0","0","0","0","0","0","1/21/2026 7:20 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS ECO 46X51","0124-21","Molde Despicado, Exceso de masa en el Contramolde, ","1/20/2026","1/21/2026","1/21/2026","Entregado",,"Lina Osorio",,"19,054","45.00","1/20/2026 12:33 PM","Lina Osorio","Rapida","Molde","39736","0","0","0","0","0","0","1/21/2026 8:54 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS ECO 46X51","0124-44","Molde con poros, Molde con Acumulación de cera, ","1/20/2026","1/21/2026","1/21/2026","Entregado",,"Lina Osorio",,"19,055","40.00","1/20/2026 12:35 PM","Lina Osorio","Rapida","Molde","39737","0","0","0","0","0","0","1/21/2026 9:56 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS ECO 46X51","0124-23","Molde con Acumulación de cera, Molde mate con brillo, ","1/20/2026","1/21/2026","1/21/2026","Entregado",,"Lina Osorio",,"19,056","30.00","1/20/2026 12:36 PM","Lina Osorio","Rapida","Molde","39738","0","0","0","0","0","0","1/21/2026 7:15 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS ECO 46X51","0124-29","Molde mate con brillo, ","1/20/2026","1/21/2026","1/21/2026","Entregado",,"Lina Osorio",,"19,057","40.00","1/20/2026 12:39 PM","Lina Osorio","Rapida","Molde","39739","0","0","0","0","0","0","1/21/2026 9:56 AM","Mantenimiento","Mantenimiento"
